metric_module,metric_function_name,metric_dimension,metric_formula,metric_visual_requirement,metric_pages,metric_entry_events,metric_note,metric_pm
服务召请,服务召请（入口）,"功能点击趋势
用途：查看覆盖（人）和活跃（次）趋势图","左Y入口点击用户数=去重后的点击用户数
右Y入口点击次数=所有入口的点击总次数","——双轴折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月
左Y （入口点击用数）、右Y （入口点击次数）
X： 日、周、月
——柱状图/一次性看分布/筛选条件——
3.设备类型
4.国区
5.区域/工程师网点
6.设备绑定数
7.角色
——柱状图/一次性看分布/活跃的筛选条件——
8.前3个月没有活跃的用户
9. 上月注册新用户","所有入口梳理

1.首页-我要召请
2.设备列表页-小手图标
3.设备详情页-小手图标
4.保养记录详情页-预约保养
5.我的-设备管理-服务工单-添加图标",,"覆盖和活跃的分析维度（涉及到产品定位）
1.人多次数多 → 功能受欢迎 
比如圈子：希望发展为说明很多人知道并愿意用，活跃度高。

2.人数多但次数少 → 好奇点点，但没深入用
比如banner：可能是标题吸引人，但点击后发现奖品不吸引人，不开通。

3.人数少但次数多 → 核心老用户或者固定角色在频繁用
比如服务召请：功能对小部分用户很有价值； 对于用非mysany召请的人 触达范围不够 一般做法就是增加曝光入口

4.人数和次数同时下降 → 需求下滑或入口隐藏了
比如积分商城切到星星积分，入口问题导致双边下降，就需要做好APP外的宣传和触达；
比如三期后，功能入口/产品改版后的入口难找，这个会有同边下降的情况发生",
服务召请,服务召请（详情页）,"召请-转化率 CVR
用途：查看实际使用用户数",CVR=点击“提交按钮”用户数/点击服务召请详情页访问用户数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月
——柱状图/一次性看分布/筛选条件——
3.设备类型
4.国区
5.区域/工程师网点
6.设备绑定数
7.角色
——柱状图/一次性看分布/活跃的筛选条件——
8.前3个月没有活跃的用户
9. 上月注册新用户",仅一个详情页,,,
服务召请,"路径分析
服务召请（入口）——详情页——提交","路径漏斗分析
查看服务召请页面漏斗转化率",漏斗路径,,,,,
服务召请,维修召请、保养预约、我要开机,"召请类型分析
用途：分析用户提交召请类型次数","维修召请提交数
保养预约提交数
我要开机提交数",百分比占比饼状图,"我要召请-服务类型按钮
我要召请-提交按钮",,,
圈子,圈子（入口）,"功能点击趋势
用途：查看覆盖（人）和活跃（次）趋势图","入口点击用户数=去重点击 Tab“圈子”的用户数
入口点击次数=所有入口的点击总次数","——双轴折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月
左Y （入口点击用数）、右Y （入口点击次数）
X： 日、周、月
——柱状图/一次性看分布/筛选条件——
3.设备类型
4.国区
5.区域/工程师网点
6.设备绑定数
7.角色",仅一个tab入口,,,
圈子,推荐/关注/话题页,"平均浏览时长
用途：产品粘性和浏览质量监控",平均浏览时长 =浏览总时长 ÷ 浏览人数,"——多折线图（多色）——
话题：推荐页/热门话题页123/同事圈话题页123/关注页/
时间跨度：秒/分
灵活时间组件 from to
固定时间组件 日、周、月

——柱状图/一次性看分布/筛选条件——
1.话题：推荐页/热门话题页123/同事圈话题页123/关注页/
2.设备类型
3.国区
4.角色","统计主要入口，做筛选条件即可
1.推荐页
2.热门话题页123
3.同事圈话题页123
4.关注页",,,
圈子,Po文页,"圈子发文-转化率
用途：流程友好度/社交粘性监控",转化率=发文成功“发布”用户数 / 点击“圈子tab”用户数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月
——柱状图/一次性看分布/筛选条件——
3.角色
4.国区
5.区域/工程师网点
6.设备类型","统计多入口 “Po文”组件 （入口组件是同一个，就可以不分界面）
1.推荐页
2.关注页
3.热门话题123
4.同事圈话题123
5.动态详情
6.我的主页
7.我的每周小结
8.我的同事圈",,,
圈子,同事圈聚合页,"平均浏览时长
用途：产品粘性和浏览质量监控",平均浏览时长 =浏览总时长 ÷ 浏览人数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月","统计多个“同事圈”入口
（1）关注页
（2）我的主页-我的同事圈",,,
我要配件,我要配件（入口）,"功能点击趋势
用途：查看覆盖（人）和活跃（次）趋势图","入口点击用户数=去重点击 icon“我要配件”的用户数
入口点击次数=所有入口的点击总次数","——双轴折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月",(1)首页,,,
我要配件,配件列表页,"平均浏览时长
用途：用户对线上选购配件浏览质量",平均浏览时长 =浏览总时长 ÷ 浏览人数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月",（1）配件列表页,,,
我要配件,配件详情页,"加入询价单按钮
用途：查看用户询价意愿情况",询价转化率=询价提交人数/配件详情页访问UV,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月","1、配件详情页
2、加入询价单按钮",,,
设备保养,设备保养入口,"功能点击趋势
用途：查看功能点击趋势","入口点击用户数=去重后的点击用户数
入口点击次数=所有入口的点击总次数","——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月",1、保养台账列表页,,,
设备保养,设备保养列表页,功能转化率,点击“预约保养”用户数/点击设备保养列表页访问用户数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月","1、保养台账列表页
2、设备保养详情页-预约保养按钮",,,
设备保养,设备保养列表页,访问跳出率,访问设备保养功能的任意页面未产生任何交互就离开的访问用户数/访问MySANY总用户数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月","1、保养台账列表页
2、设备保养详情页",,,
产品中心,产品列表页,"平均浏览时长
用途：用户对产品中心页面浏览质量",平均浏览时长 =浏览总时长 ÷ 浏览人数,"——单折线图——
1.灵活时间组件 from to
2.固定时间组件 日、周、月","1、产品组列表页
2、产品详情页-回到首页按钮",,,
设备,设备tab,"功能点击趋势
用途：查看覆盖（人）和活跃（次）趋势图","左Y入口点击用户数=去重后的点击用户数
右Y入口点击次数=点击总次数",,,,,
,工况详情页,功能访问率,实时工况详情页曝光量/总活跃用户数--分别统计pv/uv,,,,,
,"工况详情页
操作行为分析详情页
能耗分析详情页
开机动态详情页（开机曲线）
自定义预警列表页","平均浏览时长
用途：产品粘性和浏览质量监控",平均浏览时长 =浏览总时长 ÷ 浏览人数,,,,,
,数据报表,功能访问率,入口点击数/总活跃用户数--分别统计pv/uv,,,,,
,数据分析,,,,,,,
,动态曲线,,,,,,,
,数据报表-周报/月报,功能访问率,"周报按钮点击数/数据报表入口点击数
月报按钮点击数/数据报表入口点击数
（uv/pv)",,,,,
,数据分析-操作行为分析/能耗分析,功能访问率,"操作行为分析入口点击数/数据报表入口点击数
能耗分析入口点击数/数据报表入口点击数
（uv/pv)",,,,,
,预警参数设置,"功能访问率
分析多少用户会自定义预警值","预警参数设置按钮点击数/自定义预警功能访问用户数（统计预警列表页曝光数即可）--uv
预警参数成功设置数（统计参数设置的确认按钮的点击数）/自定义预警功能访问用户数--uv",,,,,
,自定义预警维度,"功能访问率
分析用户更加关注哪类预警维度",分别统计首页 冷却水温高、油位低、故障码、长时间停机、离线各维度卡片入口的点击数/总点击数 算比例,,,,,
